Split,Min,1Q,Median,Mean,3Q,Max,
Islands_mainland,"4.122,41","5.970,41","10.932,28","9.799,02","12.614,34","15.096,73",
Norway_CE,"439,50","770,90","906,20","1.189,00","976,50","4.492,20",
Iceland_Greenland,"3.354,72","3.831,18","6.106,11","5.352,17","6.516,52","6.743,64",
,,,,,,,
Ne,Min,1Q,Median,Mean,3Q,Max,
Islands_mainland,583,831,1.402,1.249,1.472,1.927,Island
Norway_CE,783,819,867,1.052,1.031,2.455,Norway
Iceland_Greenland,633,679,1.285,1.083,1.327,1.593,Iceland
