label,x,y,plot_type,plot_num
Norway_contemporary,0.0,668.7596673298802,path,0
Norway_contemporary,1083.2366244050716,668.7596673298802,path,0
Norway_contemporary,1147.9072230842771,668.7596673298802,path,0
Norway_contemporary,1216.4387384268434,668.7596673298802,path,0
Norway_contemporary,1289.0616720484302,668.7596673298802,path,0
Norway_contemporary,1366.0202868031483,668.7596673298802,path,0
Norway_contemporary,1447.573428346916,668.7596673298802,path,0
Norway_contemporary,1533.9953957492105,668.7596673298802,path,0
Norway_contemporary,1625.5768640814233,668.7596673298802,path,0
Norway_contemporary,1722.6258620849298,668.7596673298802,path,0
Norway_contemporary,1825.468808207158,668.7596673298802,path,0
Norway_contemporary,1934.451608490348,668.7596673298802,path,0
Norway_contemporary,2049.940820005635,668.7596673298802,path,0
Norway_contemporary,2172.3248837456495,668.7596673298802,path,0
Norway_contemporary,2302.0154311223346,10676.036019873909,path,0
Norway_contemporary,2439.4486684643753,10676.036019873909,path,0
Norway_contemporary,2585.0868441708385,10676.036019873909,path,0
Norway_contemporary,2739.4198034557835,10676.036019873909,path,0
Norway_contemporary,2902.9666359130556,10676.036019873909,path,0
Norway_contemporary,3076.2774214428264,10676.036019873909,path,0
Norway_contemporary,3259.9350804121145,10676.036019873909,path,0
Norway_contemporary,3454.5573342722864,10676.036019873909,path,0
Norway_contemporary,3660.7987832278436,10676.036019873909,path,0
Norway_contemporary,3879.3531079447357,10676.036019873909,path,0
Norway_contemporary,4110.95540270338,10676.036019873909,path,0
Norway_contemporary,4356.38464784394,10676.036019873909,path,0
Norway_contemporary,4616.466329819658,10676.036019873909,path,0
Norway_contemporary,4892.075217670733,10676.036019873909,path,0
Norway_contemporary,5184.138305257187,10676.036019873909,path,0
Norway_contemporary,5493.637929146767,10676.036019873909,path,0
Norway_contemporary,5821.615072644696,10676.036019873909,path,0
Norway_contemporary,6169.172867078203,10676.036019873909,path,0
Norway_contemporary,6537.480302112148,10676.036019873909,path,0
Norway_contemporary,6927.776157575222,10676.036019873909,path,0
Norway_contemporary,7341.373170021122,10676.036019873909,path,0
Norway_contemporary,7779.662448038728,10676.036019873909,path,0
Norway_contemporary,8244.118151161876,10676.036019873909,path,0
Norway_contemporary,8736.302448115981,10676.036019873909,path,0
Norway_contemporary,9257.87077107826,10676.036019873909,path,0
Norway_contemporary,9810.57738362395,10676.036019873909,path,0
Norway_contemporary,10396.281281085958,10676.036019873909,path,0
Norway_contemporary,11016.952443173474,10676.036019873909,path,0
Norway_contemporary,11674.678459879815,10676.036019873909,path,0
Norway_contemporary,12371.671552965381,10676.036019873909,path,0
Norway_contemporary,13110.276016632026,10676.036019873909,path,0
Norway_contemporary,13892.976102415114,10676.036019873909,path,0
Norway_contemporary,14722.40437481362,10676.036019873909,path,0
Norway_contemporary,15601.350565761944,10676.036019873909,path,0
Norway_contemporary,16532.770957724893,10676.036019873909,path,0
Norway_contemporary,17519.798326975324,10676.036019873909,path,0
Norway_contemporary,18565.75248049807,10676.036019873909,path,0
Norway_contemporary,19674.151421960363,10676.036019873909,path,0
Norway_contemporary,20848.72318430482,10676.036019873909,path,0
Norway_contemporary,22093.41836876329,10676.036019873909,path,0
Norway_contemporary,23412.423432465603,10676.036019873909,path,0
Norway_contemporary,24810.174769335503,17397.367409132108,path,0
Norway_contemporary,26291.373631633818,17397.367409132108,path,0
Norway_contemporary,27861.001942336727,17397.367409132108,path,0
Norway_contemporary,29524.339051532977,17397.367409132108,path,0
Norway_contemporary,31286.97949319931,17397.367409132108,path,0
